numericId,firstName,newFirstNameAr,consensus
847,"Zelfani","ذلفاني",false
465,"Rahahli","رحاحلي",false
460,"dabbabi","دبابي",false
488,"Mis","ميس",false
471,"Belgassem","بلقاسم",false
135,"Thabet","ثابت",false
885,"Walid","وليد",false
873,"Sahbi","صاحبي",false
874,"Samia","سامية",false
526,"Emira","أميرة",false
557,"Hammouda","حمودة",false
553,"Bbe","ببي",false
624,"Trabelsi","ترابلسي",false
878,"Rached","راشد",false
634,"Najah","نجاح",false
657,"Essaidi","السعيدي",false
632,"el","ال",false
180,"Alya","عليا",false
661,"Yassin","ياسين",false
880,"Mouadh","معاذ",false
662,"Shaker","شاكر",false
881,"Haddaji","حداجي",false
675,"Abderrahim","عبد الرحيم",false
677,"Kamilia","كاميليا",false
721,"Gouiderari","غويدراي",false
734,"Bejaoui","بجاوي",false
748,"ibtissem","ابتسام",false
230,"Tlili","تليلي",false
841,"Kartable","كارتابل",false
843,"Segni","سجني",false
791,"Dissem","ديسم",false
251,"Mariem","مريم",false
255,"Belghith","بلغيث",false
256,"Jamli","جملي",false
257,"Sami","سامي",false
854,"Amara","أمارا",false
855,"Zeineb","زينب",false
856,"JINA","جينا",false
637,"Nabil","نبيل",false
381,"Mohsni","محسني",false
830,"Fatma","فاطمة",false
868,"Ltifi","لطفي",false
2365,"E","إ",false
2378,"\\\"Fki","فكي",false
