numericId,fr,newName,uploads,count,profileUrl
142,"abdessamad abdessamad","Bouzidi Abdessamad",4,2,https://examanet.com/fr/professeurs/142
873,"Sahbi Sahbi","أستاذ التربية التكنولوجية",2,3,https://examanet.com/fr/professeurs/873
529,"Hmaoui Hmaoui","Daily routines",1,1,https://examanet.com/fr/professeurs/529
557,"Hammouda Hammouda","Chris is never bored",1,1,https://examanet.com/fr/professeurs/557
634,"Najah Najah","نجاح الضميد",1,1,https://examanet.com/fr/professeurs/634
725,"Yessin Yessin","أستاذة الإنعليزية",1,3,https://examanet.com/fr/professeurs/725
721,"Gouiderari Gouiderari","أستاذ التكنولوجيا",1,3,https://examanet.com/fr/professeurs/721
734,"Bejaoui Bejaoui","أستاذ علوم",1,3,https://examanet.com/fr/professeurs/734
256,"Jamli Jamli","الأستاذ محمد الجمل",1,3,https://examanet.com/fr/professeurs/256
854,"Amara Amara","أستاذ التكنولوجيا",1,3,https://examanet.com/fr/professeurs/854
855,"Zeineb Zeineb","Zeineb Tounsi",2,2,https://examanet.com/fr/professeurs/855
357,"Bilel Bilel","اسم الأستاذ",1,3,https://examanet.com/fr/professeurs/357
1713,"Nobbigh Nobbigh","NOBBIGH D",3,8,https://examanet.com/fr/professeurs/1713
1768,"Rommani Rommani","Fahmi ROMMANI",14,9,https://examanet.com/fr/professeurs/1768
1739,"Souissi Souissi","Souissi Nejah",2,3,https://examanet.com/fr/professeurs/1739
1746,"Marwen Marwen","Marwen Ibn Abdelkhalek",3,4,https://examanet.com/fr/professeurs/1746
1750,"Missaoui Missaoui","MISSAOUI LAZHAR",1,4,https://examanet.com/fr/professeurs/1750
1758,"Fehri Fehri","Fehri Bechir",8,3,https://examanet.com/fr/professeurs/1758
1759,"gary gary","GARY BADREDINE",9,6,https://examanet.com/fr/professeurs/1759
1760,"bourokba bourokba","Bourokba H",13,27,https://examanet.com/fr/professeurs/1760
1723,"Bellassoued Bellassoued","Mohamed Bellassoued",16,36,https://examanet.com/fr/professeurs/1723
1767,"Afli Afli","Afli abdelaziz",1,4,https://examanet.com/fr/professeurs/1767
1735,"Mokhtar Mokhtar","Mokhtar LAFFET",2,3,https://examanet.com/fr/professeurs/1735
1736,"khamassi khamassi","Khamassi Adel",1,3,https://examanet.com/fr/professeurs/1736
1862,"Chaabane Chaabane","Chaabane Mounir",8,12,https://examanet.com/fr/professeurs/1862
1867,"Bechir Bechir","Fehri Bechir",2,4,https://examanet.com/fr/professeurs/1867
1918,"Hechmi Hechmi","Hechmi A",1,3,https://examanet.com/fr/professeurs/1918
1882,"Barro Barro","BARRO B",1,3,https://examanet.com/fr/professeurs/1882
1888,"Gamoun Gamoun","Gamoun T",1,3,https://examanet.com/fr/professeurs/1888
1934,"Berriri Berriri","Berriri Med Nejib",1,4,https://examanet.com/fr/professeurs/1934
1976,"Knani Knani","Knani Belhadj",2,4,https://examanet.com/fr/professeurs/1976
1969,"azaiez azaiez","Mer AZAIEZ",4,6,https://examanet.com/fr/professeurs/1969
1979,"yousfi yousfi","Kamel Yousfi",4,6,https://examanet.com/fr/professeurs/1979
1986,"Rakrouki Rakrouki","Rakrouki .M",2,1,https://examanet.com/fr/professeurs/1986
