numericId,fr,newName,uploads,count,profileUrl
488,"Mis Mis","Azizi Mariem",1,1,https://examanet.com/fr/professeurs/488
541,"Emna Emna","Emna B.",2,2,https://examanet.com/fr/professeurs/541
544,"Hubbard Hubbard","Hubbard was working in his office. Sue and",1,1,https://examanet.com/fr/professeurs/544
553,"Bbe Bbe","Smith. She goes",1,1,https://examanet.com/fr/professeurs/553
333,"Ines Ines","أن تروي لزمالئك قصة أعجبتك",1,1,https://examanet.com/fr/professeurs/333
860,"Slimane Slimane","aime beaucoup",5,1,https://examanet.com/fr/professeurs/860
1753,"Daghbougi Daghbougi","issue de A.",6,4,https://examanet.com/fr/professeurs/1753
1911,"Yassine Yassine","Chapman warned that thousands",5,1,https://examanet.com/fr/professeurs/1911
2251,"Oumeimen Oumeimen","maximale atteinte par le solide",5,1,https://examanet.com/fr/professeurs/2251
963,"imedach imedach","Le syst",1,1,https://examanet.com/fr/professeurs/963
1575,"Cherif Cherif","a-t-il besoin de guide dans cette for",6,1,https://examanet.com/fr/professeurs/1575
1576,"saad saad","a employ",25,3,https://examanet.com/fr/professeurs/1576
1694,"Marzouki-Akremi Marzouki-Akremi","refuse-t-il de vivre dans le m",1,1,https://examanet.com/fr/professeurs/1694
1697,"Béjaoui Béjaoui","veut-il mettre en lumi",1,1,https://examanet.com/fr/professeurs/1697
