id,type,expected,actual,title
cmqp9oech0003olk22mlgf5lr,section,maths,,"Devoir de Synthèse N°3 - Math DEVOIR - 9ème (2025-2026) Mr GHARBI RIDHA"
cmqp9ofgy0007olk20y0qt4n1,section,maths,,"Devoir de Contrôle N°5 - Math DEVOIR - 9ème (2025-2026) Mr GHARBI RIDHA"
cmqp9oh3n000bolk27saex5il,section,maths,,"Devoir de Synthèse N°3 - Math DEVOIR - 7ème (2025-2026) Mr GHARBI RIDHA"
cmqp9oj7w0003fi28vulxrvy3,section,maths,,"Devoir de Contrôle N°5 - Math DEVOIR - 7ème (2025-2026) Mr GHARBI RIDHA"
cmqp9oknk0007fi288yeqd1no,section,maths,,"Devoir de Synthèse N°2 - Math DEVOIR - 9ème (2025-2026) Mr GHARBI RIDHA"
cmqp9om98000bfi28nc96vd71,section,maths,,"Devoir de Synthèse N°2 - Math DEVOIR - 7ème (2025-2026) Mr GHARBI RIDHA"
cmqp9on7r000ffi28390r61w6,section,maths,,"Devoir de Contrôle N°3 - Math DEVOIR - 7ème (2025-2026) Mr GHARBI RIDHA"
cmqp9oovh000jfi28pxtp85ty,section,maths,,"Devoir de Contrôle N°3 - Math DEVOIR - 7ème (2025-2026) Mr GHARBI RIDHA"
cmqp9opxu000nfi28qvo8w71y,section,maths,,"Devoir de Contrôle N°3 - Math DEVOIR - 9ème (2025-2026) Mr GHARBI RIDHA"
cmqp9orim000rfi28cskabvxq,section,maths,,"Devoir de Synthèse N°1 - Math DEVOIR - 9ème (2025-2026) Mr GHARBI RIDHA"
cmqp9osqw000vfi28anqi4b94,section,maths,,"Devoir de Synthèse N°1 - Math DEVOIR - 7ème (2025-2026) Mr GHARBI RIDHA"
cmqp9ou1l000zfi282rm2aaxh,section,maths,,"Devoir de Contrôle N°2 - Math DEVOIR - 9ème (2025-2026) Mr GHARBI RIDHA"
cmqp9pfkp0013fi2816gnlfqe,section,maths,,"Devoir de Contrôle N°2 - Math DEVOIR - 7ème (2025-2026) Mr GHARBI RIDHA"
cmqp9so6o0003ahyi03nwdja4,section,maths,,"Devoir de Contrôle N°1 - Math DEVOIR - 7ème (2025-2026) Mr GHARBI RIDHA"
cmqp9spei0007ahyipiuh653w,section,maths,,"Devoir de Contrôle N°1 - Math DEVOIR - 9ème (2025-2026) Mr GHARBI RIDHA"
cmqp9sqxk000bahyipfwa74rk,section,maths,,"Devoir de Contrôle N°2 - Math DEVOIR - 7ème (2025-2026) Mr GHARBI RIDHA"
cmqp9ss7e000fahyiry5svbmb,section,maths,,"Devoir de Synthèse N°3 - Math DEVOIR - 9ème (2024-2025) Mr GHARBI RIDHA"
cmqp9stvp000jahyip6s2fz63,section,maths,,"Devoir de Synthèse N°3 - Math DEVOIR - 7ème (2024-2025) Mr GHARBI RIDHA"
cmqp9sv1d000nahyifamngunu,section,maths,,"Devoir de Contrôle N°6 - Math DEVOIR - 9ème (2024-2025) Mr GHARBI RIDHA"
cmqp9sw5r000rahyiy8zas0hk,section,maths,,"Devoir de Contrôle N°5 - Math DEVOIR - 9ème (2024-2025) Mr GHARBI RIDHA"
cmqp9sxp4000vahyi9m0vzcn2,section,maths,,"Devoir de Contrôle N°6 - Math DEVOIR - 7ème (2024-2025) Mr GHARBI RIDHA"
cmqp9syt9000zahyidozzpmyz,section,maths,,"Devoir de Contrôle N°5 - Math DEVOIR - 7ème (2024-2025) Mr GHARBI RIDHA"
cmqp9t0zi00034j6q8qreleze,section,maths,,"Devoir de Contrôle N°3 - Math DEVOIR - 9ème (2024-2025) Mr GHARBI RIDHA"
cmqp9t29g00074j6q0gf22hut,section,maths,,"Devoir de Contrôle N°3 - Math DEVOIR - 7ème (2024-2025) Mr GHARBI RIDHA"
cmqp9t3qk000b4j6qtykk2wpm,section,maths,,"Devoir de Synthèse N°1 - Math DEVOIR - 9ème (2024-2025) Mr GHARBI RIDHA"
cmqp9t5e2000f4j6qn89r6ihl,section,maths,,"Devoir de Synthèse N°1 - Math DEVOIR - 7ème (2024-2025) Mr GHARBI RIDHA"
cmqp9t6g2000j4j6qmszbqtf5,section,maths,,"Devoir de Contrôle N°2 - Math DEVOIR - 9ème (2024-2025) Mr GHARBI RIDHA"
cmqp9t85f000n4j6qge7bii10,section,maths,,"Devoir de Contrôle N°2 - Math DEVOIR - 7ème (2024-2025) Mr GHARBI RIDHA"
cmqp9t9fw000r4j6qrc0m190p,section,maths,,"Devoir de Synthèse N°3 - Math DEVOIR - 9ème (2023-2024) Mr GHARBI RIDHA"
cmqp9tb0y000v4j6q8rfjlkc3,section,maths,,"Devoir de Synthèse N°3 - Math DEVOIR - 7ème (2023-2024) Mr GHARBI RIDHA"
cmqp9td5g000z4j6qdhlse1e0,section,maths,,"Devoir de Contrôle N°6 - Math DEVOIR - 9ème (2023-2024) Mr GHARBI RIDHA"
cmqp9ten600134j6q60k92bav,section,maths,,"Devoir de Contrôle N°5 - Math DEVOIR - 9ème (2023-2024) Mr GHARBI RIDHA"
cmqp9tfp200174j6qlb8krdis,section,maths,,"Devoir de Contrôle N°6 - Math DEVOIR - 7ème (2023-2024) Mr GHARBI RIDHA"
cmqp9tha3001b4j6qphq95uvk,section,maths,,"Devoir de Contrôle N°5 - Math DEVOIR - 7ème (2023-2024) Mr GHARBI RIDHA"
cmqp9tisu001f4j6qsumquj8v,section,maths,,"Devoir de Synthèse N°2 - Math DEVOIR - 9ème (2023-2024) Mr GHARBI RIDHA"
cmqp9tkbl001j4j6qetgcsi8p,section,maths,,"Devoir de Synthèse N°2 - Math DEVOIR - 7ème (2023-2024) Mr GHARBI RIDHA"
cmqp9tlyf001n4j6q4pyslrh3,section,maths,,"Devoir de Contrôle N°4 - Math DEVOIR - 7ème (2023-2024) Mr GHARBI RIDHA"
cmqp9tmvn001r4j6qh0nvstex,section,maths,,"Devoir de Contrôle N°4 - Math DEVOIR - 9ème (2023-2024) Mr GHARBI RIDHA"
cmqp9toha001v4j6qiux4eroh,section,maths,,"Devoir de Contrôle N°3 - Math DEVOIR - 7ème (2023-2024) Mr GHARBI RIDHA"
cmqp9tpk0001z4j6qz9iwmfs8,section,maths,,"Devoir de Contrôle N°3 - Math DEVOIR - 9ème (2023-2024) Mr GHARBI RIDHA"
cmqp9tr4800234j6qxtvt49wj,section,maths,,"Devoir de Synthèse N°1 - Math DEVOIR - 9ème (2023-2024) Mr GHARBI RIDHA"
cmqp9tsdv00274j6q5cmrrv3v,section,maths,,"Devoir de Contrôle N°1 - Math DEVOIR - 9ème (2023-2024) Mr GHARBI RIDHA"
cmqp9ttyj002b4j6qy1o38urj,section,maths,,"Devoir de Synthèse N°1 - Math DEVOIR - 7ème (2023-2024) Mr GHARBI RIDHA"
cmqp9tv1l002f4j6qtqc0z305,section,maths,,"Devoir de Contrôle N°2 - Math DEVOIR - 7ème (2023-2024) Mr GHARBI RIDHA"
cmqp9tw5l002j4j6q8h1vrjvn,section,maths,,"Devoir de Contrôle N°1 - Math DEVOIR - 9ème (2023-2024) Mr GHARBI RIDHA"
cmqp9txdq002n4j6qshm62qm4,section,maths,,"Devoir de Contrôle N°1 - Math DEVOIR - 7ème (2023-2024) Mr GHARBI RIDHA"
cmqp9tyfd002r4j6qw0dqsj70,section,maths,,"Devoir de Synthèse N°3 - Math DEVOIR - 9ème (2022-2023) Mr GHARBI RIDHA"
cmqp9tzuu002v4j6q3xb83016,section,maths,,"Devoir de Synthèse N°3 - Math DEVOIR - 8ème (2022-2023) Mr GHARBI RIDHA"
cmqp9u1a8002z4j6qu4ruwyov,section,maths,,"Devoir de Contrôle N°6 - Math DEVOIR - 8ème (2022-2023) Mr GHARBI RIDHA"
cmqp9u34s00334j6qqs8qvnr9,section,maths,,"Devoir de Contrôle N°6 - Math DEVOIR - 9ème (2022-2023) Mr GHARBI RIDHA"
cmqp9u4ll00374j6qexrhni69,section,maths,,"Devoir de Contrôle N°5 - Math DEVOIR - 9ème (2022-2023) Mr GHARBI RIDHA"
cmqp9u65w003b4j6q8kuoj9fa,section,maths,,"Devoir de Contrôle N°5 - Math DEVOIR - 8ème (2022-2023) Mr GHARBI RIDHA"
cmqp9u7uq003f4j6q1ezf5avz,section,maths,,"Devoir de Synthèse N°2 - Math DEVOIR - 9ème (2022-2023) Mr GHARBI RIDHA"
cmqp9u8x6003j4j6qrr36eyqe,section,maths,,"Devoir de Synthèse N°2 - Math DEVOIR - 8ème (2022-2023) Mr GHARBI RIDHA"
cmqp9ua7w003n4j6qlxltm4r9,section,maths,,"Devoir de Synthèse N°2 - Math DEVOIR - 9ème (2022-2023) Mr GHARBI RIDHA"
cmqp9ubhw003r4j6qhnhzyj14,section,maths,,"Devoir de Synthèse N°2 - Math DEVOIR - 8ème (2022-2023) Mr GHARBI RIDHA"
cmqp9ud05003v4j6qp5k3gp98,section,maths,,"Devoir de Contrôle N°2 - Math DEVOIR - 9ème (2022-2023) Mr GHARBI RIDHA"
cmqp9ue3a003z4j6qmwygww35,section,maths,,"Devoir de Contrôle N°4 - Math DEVOIR - 9ème (2022-2023) Mr GHARBI RIDHA"
cmqp9uf6000434j6q7zatns50,section,maths,,"Devoir de Contrôle N°4 - Math DEVOIR - 8ème (2022-2023) Mr GHARBI RIDHA"
cmqp9ugsg00474j6qi9aru5y7,section,maths,,"Devoir de Contrôle N°3 - Math DEVOIR - 9ème (2022-2023) Mr GHARBI RIDHA"
cmqp9uien004b4j6qrozqtf81,section,maths,,"Devoir de Contrôle N°3 - Math DEVOIR - 8ème (2022-2023) Mr GHARBI RIDHA"
cmqp9ujp3004f4j6qdxtbnjdb,section,maths,,"N°1 - Math DEVOIR - 9ème (2022-2023) Mr GHARBI RIDHA"
cmqp9ukko004j4j6qp0telsqm,section,maths,,"Devoir de Contrôle N°2 - Math DEVOIR - 9ème (2022-2023) Mr GHARBI RIDHA"
cmqp9ulpv004n4j6qlt08uu5z,section,maths,,"Devoir de Contrôle N°1 - Math DEVOIR - 9ème (2022-2023) Mr GHARBI RIDHA"
cmqp9unam004r4j6qijoitgq6,section,maths,,"N°1 - Math DEVOIR - 8ème (2022-2023) Mr GHARBI RIDHA"
cmqp9uox5004v4j6qimtpus4w,section,maths,,"Devoir de Contrôle N°2 - Math DEVOIR - 8ème (2022-2023) Mr GHARBI RIDHA"
cmqp9uqbi004z4j6qgrqklhgq,section,maths,,"Devoir de Contrôle N°1 - Math DEVOIR - 8ème (2022-2023) Mr GHARBI RIDHA"
cmqp9urqo00534j6qh8luuuzf,section,maths,,"Devoir de Synthèse N°3 - Math DEVOIR - 8ème (2021-2022) Mr GHARBI RIDHA"
cmqp9ut8f00574j6q977fhhwp,section,maths,,"N°3 - Math DEVOIR - 7ème (2021-2022) Mr GHARBI RIDHA"
cmqp9uuci005b4j6qar8fhdcz,section,maths,,"Devoir de Contrôle N°6 - Math DEVOIR - 7ème (2021-2022) Mr GHARBI RIDHA"
cmqp9uw50005f4j6q1xnig04q,section,maths,,"Devoir de Contrôle N°6 - Math DEVOIR - 8ème (2021-2022) Mr GHARBI RIDHA"
cmqp9uxmp005j4j6qaw6zx13k,section,maths,,"Devoir de Contrôle N°5 - Math DEVOIR - 8ème (2021-2022) Mr GHARBI RIDHA"
cmqp9uz9r005n4j6q1g6jn9cl,section,maths,,"Devoir de Contrôle N°5 - Math DEVOIR - 7ème (2021-2022) Mr GHARBI RIDHA"
cmqp9v0xv005r4j6qiuws2i3m,section,maths,,"Devoir de Synthèse N°2 - Math DEVOIR - 8ème (2021-2022) Mr GHARBI RIDHA"
cmqp9v20z005v4j6qwo5ejt1c,section,maths,,"Devoir de Synthèse N°2 - Math DEVOIR - 7ème (2021-2022) Mr GHARBI RIDHA"
cmqp9v35z005z4j6qj9bi6tkp,section,maths,,"Devoir de Contrôle N°4 - Math DEVOIR - 7ème (2021-2022) Mr GHARBI RIDHA"
cmqp9v4av00634j6qvezlvq0z,section,maths,,"Devoir de Contrôle N°4 - Math DEVOIR - 8ème (2021-2022) Mr GHARBI RIDHA"
cmqp9v68q00674j6qtjwbdndq,section,maths,,"N°2 - Math DEVOIR - 8ème Mr GHARBI RIDHA"
cmqp9v7pi006b4j6q9l3nhwy9,section,maths,,"Devoir de Contrôle N°3 - Math DEVOIR - 8ème Mr GHARBI RIDHA"
cmqp9v9l8006f4j6q5olni4n5,section,maths,,"Devoir de Synthèse N°2 - Math DEVOIR - 7ème Mr GHARBI RIDHA"
cmqp9vb80006j4j6qfghs5ez8,section,maths,,"Devoir de Contrôle N°3 - Math DEVOIR - 7ème Mr GHARBI RIDHA"
cmqp9vchm006n4j6q019ecpx8,section,maths,,"N°2 - Math DEVOIR - 8ème Mr GHARBI RIDHA"
cmqp9ve2c006r4j6qxjiiqeq7,section,maths,,"Devoir de Synthèse N°2 - Math DEVOIR - 7ème Mr GHARBI RIDHA"
cmqp9vfiw006v4j6q0zlnpot5,section,maths,,"Devoir de Contrôle N°1 - Math DEVOIR - 7ème Mr GHARBI RIDHA"
cmqp9vgjr006z4j6qz18mf09y,section,maths,,"Devoir de Contrôle N°2 - Math DEVOIR - 8ème Mr GHARBI RIDHA"
cmqp9vi7e00734j6q67i4084x,section,maths,,"Devoir de Synthèse N°1 - Math DEVOIR - 8ème Mr GHARBI RIDHA"
cmqp9vjg800774j6qmxlsifsv,section,maths,,"Devoir de Contrôle N°1 - Math DEVOIR - 8ème Mr GHARBI RIDHA"
cmqp9vkiv007b4j6q2i9oi2oo,section,maths,,"Devoir de Contrôle N°2 - Math DEVOIR - 7ème Mr GHARBI RIDHA"
cmqp9vljf007f4j6qb7dne5n9,section,maths,,"N°1 - Math DEVOIR - 7ème Mr GHARBI RIDHA"
cmqp9vmq5007j4j6quf9qfbrt,section,maths,,"Devoir de Contrôle N°1 - Math DEVOIR - 7ème Mr GHARBI RIDHA"
