id,slug,title,issues
cmqtdihsu000aayn5mmeonfwz,"devoir-de-synthse-n1-math-7me-2013-2014-CgLCOO","Devoir de Synthèse N°1 - Math - 7ème (2013-2014)","cuid-suffix|stripped-accents"
cmr8tl7uk002tezxrumd0l1s2,"serie-dexercices-n1-math-problemes-du-premier-degre-a-une-ou-o5c1xs","Série d'exercices N°1 - Math - Problèmes du premier degré à une ou deux ou trois inconnues - Les pourcentagess - 2ème Economie &amp; Services (2016-2017)","cuid-suffix|html-entities"
cmqwouswz006m106jr6axuj74,"devoir-de-synthse-n3-svt-7me-2023-2024-t1747321647-rcxusm","Devoir de Synthèse - N°3 - SVT - 7ème (2023-2024)","cuid-suffix|stripped-accents"
cmqwozqrm00bb106jkisbv9r5,"cours-math-جمع-و-طرح-الاعداد-الصحيحة-الطبيعية-7-me-2018-2019-mr-abdelghaffar-sam-neqivu","Cours - Math جمع و طرح الأعداد الصحيحة الطبيعيّة - 7ème (2018-2019) Mr Abdelghaffar Sami","cuid-suffix|too-long"
cmr8ty32q0195ezxra56vo43c,"devoir-de-synthse-n1-math-2me-sciences-2013-2014-5vrbuv","Devoir de Synthèse N°1 - Math - 2ème Sciences (2013-2014)","cuid-suffix|stripped-accents"
cmr8tyjso01azezxr3p79fyrv,"devoir-de-synthse-n1-math-bac-technique-2016-2017-bwfvcj","Devoir de Synthèse N°1 - Math - Bac Technique (2016-2017)","cuid-suffix|stripped-accents"
cmqtc3hak00645aqvqtwckjzn,"devoir-de-contrle-n2-collge-pilote-anglais-7me-2014-2015-PBqbxp","Devoir de Contrôle N°2 Collège pilote - Anglais - 7ème (2014-2015)","cuid-suffix"
cmr8ul7q803hoezxrex4qqw12,"serie-corrigee-de-revision-math-arithmetique-integrale-bac-m-qlgnkl","Série Corrigée de Révision - Math - Arithmétique + Intégrale - Bac Mathématiques (2017-2018)","cuid-suffix"
cmr975b1l018fxgtb7npi4sc1,"devoir-de-contrle-n2-math-2me-economie-amp-services-2013-201-Tcgbz5","Devoir de Contrôle N°2 - Math - 2ème Economie &amp; Services (2013-2014)","cuid-suffix|html-entities"
cmr8goqt500vjwmh4hujhzv6x,"dc23dpdf-0bvyng","dc23d.pdf","cuid-suffix|pdf-in-slug"
cmr8je9cm005p70fascxfjaf9,"dc-1-20102011pdf-r7y4qj","DC 1 20102011.pdf","cuid-suffix"
cmqslm7ea001doizkm92zcx1z,"serie-dexercices-n13-math-9eme-2010-2011-NdKtkO","Série d'exercices N°13 - Math - 9ème (2010-2011)","cuid-suffix"
cmr8tfm20004fuoovshvhd4hm,"devoir-de-contrle-n1-math-2me-economie-amp-services-2015-201-AhnWje","Devoir de Contrôle N°1 - Math - 2ème Economie &amp; Services (2015-2016)","cuid-suffix|html-entities"
cmr997frr011lhdy9l08foer3,"devoir-de-controle-n2-genie-electrique-traitement-aerodynami-cimjsd","Devoir de Contrôle N°2 - Génie électrique traitement aérodynamique - 3ème Technique (2010-2011)","cuid-suffix"
cmr98l27w035t68vc8yn7lt2s,"serie-dexercices-n2-avec-correction-math-equation-differenti-wx7k5c","Série d'exercices N°2 Avec correction - Math Équation différentielle - Bac Sciences exp (2022-2023)","cuid-suffix"
cmr98wkvu03zp68vcj8ztufly,"serie-dexercices-math-calcul-integral-bac-toutes-sections-20-xlxfm7","Série d'exercices - Math - Calcul-integral - Bac Toutes Sections (2015-2016)","cuid-suffix"
cmqwwklyw00jovdileqkb64i1,"devoir-de-synthse-n1-technologie-9me-2013-2014-mr-achour-nou-52ma2n","Devoir de Synthèse N°1 - Technologie - 9ème (2013-2014) مدفئة كهربائية Mr Achour Noureddine","cuid-suffix|stripped-accents"
cmr8h8haa008j5qm2beulrd65,"serie-force-lectrique-2013-mvvist","serie forcée électrique 2013","cuid-suffix"
cmr99hx1605ua68vczzhdxv5a,"devoir-de-synthse-n1-svt-3me-sciences-exp-2010-2011-jrgq9x","Devoir de Synthèse N°1 - SVT - 3ème Sciences exp (2010-2011)","cuid-suffix|stripped-accents"
